,name,long_name,name_odessa,unit,domain,strategy,dimension,index
0,Q_H2_cavity,hydrogen mass flow rate of cavity generated by MCCI,284,[kg/s],cavity,sensor,none,
1,T_cavity,temperature of cavity zone,285,[K],cavity,sensor,none,
2,m_cavity,mass of the corium in cavity zone,286,[kg],cavity,sensor,none,
3,T_cavity_cor,temperature of cavity corium,287,[K],cavity,sensor,none,
4,m_oxyde_cavity,mass of oxyde layer located in cavity,360,[kg],cavity,sensor,none,
5,m_crust_cavity,mass of crust layer located in cavity,361,[kg],cavity,sensor,none,
6,axial_cavity_erosion,axial cavity erosion,362,[m],cavity,sensor,none,
7,radial_cavity_erosion,radial cavity erosion (maximum on all levels),363,[m],cavity,sensor,none,
0,m_H2_reco,mass of recombined H2,269,[kg],containment_general,sensor,none,
1,m_CO_reco,mass of recombined CO,270,[kg],containment_general,sensor,none,
2,Q_css_1,containment spray system 1 flow rate,295,[kg/s],containment_general,sensor,none,
3,Q_css_2,containment spray system 2 flow rate,296,[kg/s],containment_general,sensor,none,
4,Q_css_3,containment spray system 3 flow rate,297,[kg/s],containment_general,sensor,none,
5,Q_vent,containment venting flow rate,298,[kg/s],containment_general,sensor,none,
6,A_Xe133,activity Xe133,308,[Bq/kg],containment_general,sensor,none,
7,A_I131O,activity I131O,322,[Bq/kg],containment_general,sensor,none,
8,A_I131I,activity I131I,324,[Bq/kg],containment_general,sensor,none,
9,A_I131A,activity I131A,326,[Bq/kg],containment_general,sensor,none,
10,A_I132O,activity I132O,323,[Bq/kg],containment_general,sensor,none,
11,A_I132I,activity I132I,325,[Bq/kg],containment_general,sensor,none,
12,A_I132A,activity I132A,327,[Bq/kg],containment_general,sensor,none,
13,A_Cs134,activity Cs134,311,[Bq/kg],containment_general,sensor,none,
14,A_Cs136,activity Cs136,312,[Bq/kg],containment_general,sensor,none,
15,A_Cs137,activity Cs137,313,[Bq/kg],containment_general,sensor,none,
16,A_Te132,activity Te132,314,[Bq/kg],containment_general,sensor,none,
17,A_Sr90,activity Sr90,315,[Bq/kg],containment_general,sensor,none,
18,A_Mo99,activity Mo99,316,[Bq/kg],containment_general,sensor,none,
19,A_La140,activity La140,317,[Bq/kg],containment_general,sensor,none,
20,A_Cm242,activity Cm242,318,[Bq/kg],containment_general,sensor,none,
21,A_Pu241,activity Pu241,319,[Bq/kg],containment_general,sensor,none,
22,A_Ru103,activity Ru103,320,[Bq/kg],containment_general,sensor,none,
23,A_Sb127,activity Sb127,321,[Bq/kg],containment_general,sensor,none,
24,Q_dose_cont,total dose rate,288,[Gy/s],containment_general,sensor,none,
25,A_Xe133_env,activity Xe133,328,[Bq/kg],containment_environ,sensor,none,
26,A_I131O_env,activity I131O,342,[Bq/kg],containment_environ,sensor,none,
27,A_I131I_env,activity I131I,344,[Bq/kg],containment_environ,sensor,none,
28,A_I131A_env,activity I131A,346,[Bq/kg],containment_environ,sensor,none,
29,A_I132O_env,activity I132O,343,[Bq/kg],containment_environ,sensor,none,
30,A_I132I_env,activity I132I,345,[Bq/kg],containment_environ,sensor,none,
31,A_I132A_env,activity I132A,347,[Bq/kg],containment_environ,sensor,none,
32,A_Cs134_env,activity Cs134,331,[Bq/kg],containment_environ,sensor,none,
33,A_Cs136_env,activity Cs136,332,[Bq/kg],containment_environ,sensor,none,
34,A_Cs137_env,activity Cs137,333,[Bq/kg],containment_environ,sensor,none,
35,A_Te132_env,activity Te132,334,[Bq/kg],containment_environ,sensor,none,
36,A_Sr90_env,activity Sr90,335,[Bq/kg],containment_environ,sensor,none,
