name,long_name,name_odessa,unit,domain,strategy,dimension
m_AL_aerosol_dome,mass of AL in the phase AEROSOL of the containment dome,FPSM_STA:AL,[kg],containment_dome,containment_dome,none
m_AN_aerosol_dome,mass of AN in the phase AEROSOL of the containment dome,FPSM_STA:AN,[kg],containment_dome,containment_dome,none
m_AX_aerosol_dome,mass of AX in the phase AEROSOL of the containment dome,FPSM_STA:AX,[kg],containment_dome,containment_dome,none
m_BC_aerosol_dome,mass of BC in the phase AEROSOL of the containment dome,FPSM_STA:BC,[kg],containment_dome,containment_dome,none
m_BE_aerosol_dome,mass of BE in the phase AEROSOL of the containment dome,FPSM_STA:BE,[kg],containment_dome,containment_dome,none
m_BN_aerosol_dome,mass of BN in the phase AEROSOL of the containment dome,FPSM_STA:BN,[kg],containment_dome,containment_dome,none
m_BS_aerosol_dome,mass of BS in the phase AEROSOL of the containment dome,FPSM_STA:BS,[kg],containment_dome,containment_dome,none
m_CG_aerosol_dome,mass of CG in the phase AEROSOL of the containment dome,FPSM_STA:CG,[kg],containment_dome,containment_dome,none
m_CL_aerosol_dome,mass of CL in the phase AEROSOL of the containment dome,FPSM_STA:CL,[kg],containment_dome,containment_dome,none
m_CO_aerosol_dome,mass of CO in the phase AEROSOL of the containment dome,FPSM_STA:CO,[kg],containment_dome,containment_dome,none
m_CT_aerosol_dome,mass of CT in the phase AEROSOL of the containment dome,FPSM_STA:CT,[kg],containment_dome,containment_dome,none
m_AL_depoareo_dome,mass of AL in the phase DEPOAREO of the containment dome,FPSM_STA:AL,[kg],containment_dome,containment_dome,none
m_AN_depoareo_dome,mass of AN in the phase DEPOAREO of the containment dome,FPSM_STA:AN,[kg],containment_dome,containment_dome,none
m_AX_depoareo_dome,mass of AX in the phase DEPOAREO of the containment dome,FPSM_STA:AX,[kg],containment_dome,containment_dome,none
m_BC_depoareo_dome,mass of BC in the phase DEPOAREO of the containment dome,FPSM_STA:BC,[kg],containment_dome,containment_dome,none
m_BE_depoareo_dome,mass of BE in the phase DEPOAREO of the containment dome,FPSM_STA:BE,[kg],containment_dome,containment_dome,none
m_BN_depoareo_dome,mass of BN in the phase DEPOAREO of the containment dome,FPSM_STA:BN,[kg],containment_dome,containment_dome,none
m_BS_depoareo_dome,mass of BS in the phase DEPOAREO of the containment dome,FPSM_STA:BS,[kg],containment_dome,containment_dome,none
m_CG_depoareo_dome,mass of CG in the phase DEPOAREO of the containment dome,FPSM_STA:CG,[kg],containment_dome,containment_dome,none
m_CL_depoareo_dome,mass of CL in the phase DEPOAREO of the containment dome,FPSM_STA:CL,[kg],containment_dome,containment_dome,none
m_CO_depoareo_dome,mass of CO in the phase DEPOAREO of the containment dome,FPSM_STA:CO,[kg],containment_dome,containment_dome,none
m_CT_depoareo_dome,mass of CT in the phase DEPOAREO of the containment dome,FPSM_STA:CT,[kg],containment_dome,containment_dome,none
m_AL_gas_dome,mass of AL in the phase GAS of the containment dome,FPSM_STA:AL,[kg],containment_dome,containment_dome,none
m_AN_gas_dome,mass of AN in the phase GAS of the containment dome,FPSM_STA:AN,[kg],containment_dome,containment_dome,none
m_AX_gas_dome,mass of AX in the phase GAS of the containment dome,FPSM_STA:AX,[kg],containment_dome,containment_dome,none
m_BC_gas_dome,mass of BC in the phase GAS of the containment dome,FPSM_STA:BC,[kg],containment_dome,containment_dome,none
m_BE_gas_dome,mass of BE in the phase GAS of the containment dome,FPSM_STA:BE,[kg],containment_dome,containment_dome,none
m_BN_gas_dome,mass of BN in the phase GAS of the containment dome,FPSM_STA:BN,[kg],containment_dome,containment_dome,none
m_BS_gas_dome,mass of BS in the phase GAS of the containment dome,FPSM_STA:BS,[kg],containment_dome,containment_dome,none
m_CG_gas_dome,mass of CG in the phase GAS of the containment dome,FPSM_STA:CG,[kg],containment_dome,containment_dome,none
m_CL_gas_dome,mass of CL in the phase GAS of the containment dome,FPSM_STA:CL,[kg],containment_dome,containment_dome,none
m_CO_gas_dome,mass of CO in the phase GAS of the containment dome,FPSM_STA:CO,[kg],containment_dome,containment_dome,none
m_CT_gas_dome,mass of CT in the phase GAS of the containment dome,FPSM_STA:CT,[kg],containment_dome,containment_dome,none
m_AL_liquid_dome,mass of AL in the phase LIQUID of the containment dome,FPSM_STA:AL,[kg],containment_dome,containment_dome,none
m_AN_liquid_dome,mass of AN in the phase LIQUID of the containment dome,FPSM_STA:AN,[kg],containment_dome,containment_dome,none
m_AX_liquid_dome,mass of AX in the phase LIQUID of the containment dome,FPSM_STA:AX,[kg],containment_dome,containment_dome,none
m_BC_liquid_dome,mass of BC in the phase LIQUID of the containment dome,FPSM_STA:BC,[kg],containment_dome,containment_dome,none
m_BE_liquid_dome,mass of BE in the phase LIQUID of the containment dome,FPSM_STA:BE,[kg],containment_dome,containment_dome,none
m_BN_liquid_dome,mass of BN in the phase LIQUID of the containment dome,FPSM_STA:BN,[kg],containment_dome,containment_dome,none
m_BS_liquid_dome,mass of BS in the phase LIQUID of the containment dome,FPSM_STA:BS,[kg],containment_dome,containment_dome,none
m_CG_liquid_dome,mass of CG in the phase LIQUID of the containment dome,FPSM_STA:CG,[kg],containment_dome,containment_dome,none
m_CL_liquid_dome,mass of CL in the phase LIQUID of the containment dome,FPSM_STA:CL,[kg],containment_dome,containment_dome,none
m_CO_liquid_dome,mass of CO in the phase LIQUID of the containment dome,FPSM_STA:CO,[kg],containment_dome,containment_dome,none
m_CT_liquid_dome,mass of CT in the phase LIQUID of the containment dome,FPSM_STA:CT,[kg],containment_dome,containment_dome,none
