name,long_name,name_odessa,unit,domain,strategy,dimension
average_total_pressure,average total pressure in each zone,PRES,[Pa],containment_zone,containment_zone_ther,zone
average_fluid_temperature,average fluid temperature in each zone,TFLU,[K],containment_zone,containment_zone_ther,zone
average_liquid_temperature,average liquid temperature in each zone,TLIQ,[K],containment_zone,containment_zone_ther,zone
amtosph_comp_xco,atmospheric composition of xco in each zone,XCO,[-],containment_zone,containment_zone_ther,zone
amtosph_comp_xco2,atmospheric composition of xco2 in each zone,XCO2,[-],containment_zone,containment_zone_ther,zone
amtosph_comp_xh2,atmospheric composition of xh2 in each zone,XH2,[-],containment_zone,containment_zone_ther,zone
amtosph_comp_xh2o,atmospheric composition of xh2o each zone,XH2O,[-],containment_zone,containment_zone_ther,zone
amtosph_comp_xn2,atmospheric composition of xn2 each zone,XN2,[-],containment_zone,containment_zone_ther,zone
amtosph_comp_xo2,atmospheric composition of xo2 each zone,XO2,[-],containment_zone,containment_zone_ther,zone
water_level,water level,WLEV,[m],containment_zone,containment_zone_ther,none
