name,long_name,name_odessa,unit,domain,strategy,dimension
T_gas_primary_volume,gas temperature,T_gas,[K],primary_volume,primary_volume_ther,volume
x_alfa_primary_volume,void fraction,x_alfa,[-],primary_volume,primary_volume_ther,volume
P_steam_primary_volume,steam partial pressure,P_steam,[Pa],primary_volume,primary_volume_ther,volume
P_saturation_primary_volume,saturation pressure,Psat,[Pa],primary_volume,primary_volume_ther,volume
P_H2_primary_volume,hydrogen partial pressure,P_h2,[Pa],primary_volume,primary_volume_ther,volume
P_primary_volume,total pressure,P,[Pa],primary_volume,primary_volume_ther,volume
m_steam_primary_volume,steam mass,m_steam,[kg],primary_volume,primary_volume_ther,volume
rho_liq_primary_volume,liquid density,rho_liq,[kg/m3],primary_volume,primary_volume_ther,volume
m_liq_primary_volume,liquid mass,m_liq,[kg],primary_volume,primary_volume_ther,volume
T_sat_primary_volume,saturation temperature,T_sat,[K],primary_volume,primary_volume_ther,volume
x_steam_primary_volume,void fraction of steam water,x_steam,[],primary_volume,primary_volume_ther,volume
T_liq_primary_volume,liquid temperature,T_liq,[K],primary_volume,primary_volume_ther,volume
P_up_primary_volume,pressure above water level,P_UP,[Pa],primary_volume,primary_volume_ther,volume
