name,long_name,name_odessa,unit,domain,strategy,dimension
P_vessel,pressure in the vessel,P,[Pa],vessel_mesh,vessel_mesh_ther,mesh
P_H2_vessel,pressure of hydrogen in the vessel,P_h2,[Pa],vessel_mesh,vessel_mesh_ther,mesh
P_steam_vessel,pressure of steam in the vessel,P_steam,[Pa],vessel_mesh,vessel_mesh_ther,mesh
T_gas_vessel,gaseous phase temperature,T_gas,[K],vessel_mesh,vessel_mesh_ther,mesh
T_liq_vessel,liquid phase temperature,T_liq,[K],vessel_mesh,vessel_mesh_ther,mesh
T_sat_vessel,saturation temperature,T_sat,[K],vessel_mesh,vessel_mesh_ther,mesh
m_gas_vessel,mass of gaseous phase in the volume,m_gas,[kg],vessel_mesh,vessel_mesh_ther,mesh
m_liq_vessel_mesh,mass of liquid phase in the volume,m_liq,[kg],vessel_mesh,vessel_mesh_ther,mesh
Q_liq_vap_vessel,liquid to vapor flowrate,q_m_list,[kg/s],vessel_mesh,vessel_mesh_ther,mesh
rho_gas_vessel,density of the gaseous phase in the volume,rho_gas,[kg/m3],vessel_mesh,vessel_mesh_ther,mesh
rho_liq_vessel,density of the liquid phase in the volume,rho_liq,[kg/m3],vessel_mesh,vessel_mesh_ther,mesh
x_alfa_vessel,void fraction,x_alfa,[-],vessel_mesh,vessel_mesh_ther,mesh
porosity_vessel,porosity of the mesh with rods (without debris components),POROSITY,[-],vessel_mesh,vessel_mesh,mesh
V_deb_vessel,volume proportion of the 3 debris classes,VOLFDEB,[-],vessel_mesh,vessel_mesh,mesh
V_mag_vessel,volume proportion of the magma,VOLFMAG,[-],vessel_mesh,vessel_mesh,mesh
