name_netcdf,name_odessa,unit,type,dimension
v_gas_vessel,v_gas,bar,vessel_face_ther,face
v_gas_primary,v_gas,bar,primary_junction_ther,junction
v_gas_secondar,v_gas,bar,secondar_junction_ther,junction
Ddrop,Ddrop,bar,vessel_mesh_ther,channel;mesh
Pressure,P,bar,vessel_mesh_ther,channel;mesh
PPI,PPI,bar,vessel_mesh_ther,channel;mesh
P_h2,P_h2,bar,vessel_mesh_ther,channel;mesh
P_steam,P_steam,bar,vessel_mesh_ther,channel;mesh
Psat,Psat,bar,vessel_mesh_ther,channel;mesh
T_gas,T_gas,bar,vessel_mesh_ther,channel;mesh
T_itf,T_itf,bar,vessel_mesh_ther,channel;mesh
T_liq,T_liq,bar,vessel_mesh_ther,channel;mesh
T_sat,T_sat,bar,vessel_mesh_ther,channel;mesh
T_sat_pv,T_sat_pv,bar,vessel_mesh_ther,channel;mesh
VG_bar,VG_bar,bar,vessel_mesh_ther,channel;mesh
VL_bar,VL_bar,bar,vessel_mesh_ther,channel;mesh
chf,chf,bar,vessel_mesh_ther,channel;mesh
fm_itf,fm_itf,bar,vessel_mesh_ther,channel;mesh
h_gas,h_gas,bar,vessel_mesh_ther,channel;mesh
h_h2,h_h2,bar,vessel_mesh_ther,channel;mesh
h_liq,h_liq,bar,vessel_mesh_ther,channel;mesh
h_liq_sa,h_liq_sa,bar,vessel_mesh_ther,channel;mesh
h_ste_sa,h_ste_sa,bar,vessel_mesh_ther,channel;mesh
h_steam,h_steam,bar,vessel_mesh_ther,channel;mesh
m_gas,m_gas,bar,vessel_mesh_ther,channel;mesh
m_h2,m_h2,bar,vessel_mesh_ther,channel;mesh
m_liq,m_liq,bar,vessel_mesh_ther,channel;mesh
m_steam,m_steam,bar,vessel_mesh_ther,channel;mesh
mu_gas,mu_gas,bar,vessel_mesh_ther,channel;mesh
mu_liq,mu_liq,bar,vessel_mesh_ther,channel;mesh
phi_wtog,phi_wtog,bar,vessel_mesh_ther,channel;mesh
phi_wtoi,phi_wtoi,bar,vessel_mesh_ther,channel;mesh
phi_wtol,phi_wtol,bar,vessel_mesh_ther,channel;mesh
q_m_list,q_m_list,bar,vessel_mesh_ther,channel;mesh
qgl,qgl,bar,vessel_mesh_ther,channel;mesh
qil,qil,bar,vessel_mesh_ther,channel;mesh
qiv,qiv,bar,vessel_mesh_ther,channel;mesh
rho_gas,rho_gas,bar,vessel_mesh_ther,channel;mesh
rho_h2,rho_h2,bar,vessel_mesh_ther,channel;mesh
rho_liq,rho_liq,bar,vessel_mesh_ther,channel;mesh
rho_stea,rho_stea,bar,vessel_mesh_ther,channel;mesh
x_alpfa,x_alfa,bar,vessel_mesh_ther,channel;mesh
x_h2,x_h2,bar,vessel_mesh_ther,channel;mesh
x_steam,x_steam,bar,vessel_mesh_ther,channel;mesh
