name,long_name,name_odessa,unit,domain,strategy,dimension
Q_fp_Ac,mean mass flowrate of Ac,4,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Ag,mean mass flowrate of Ag,5,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Am,mean mass flowrate of Am,6,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_As,mean mass flowrate of As,7,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Ba,mean mass flowrate of Ba,8,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Br,mean mass flowrate of Br,9,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Cd,mean mass flowrate of Cd,10,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Ce,mean mass flowrate of Ce,11,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Cm,mean mass flowrate of Cm,12,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Cs,mean mass flowrate of Cs,13,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Cu,mean mass flowrate of Cu,14,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Dy,mean mass flowrate of Dy,15,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Er,mean mass flowrate of Er,16,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Eu,mean mass flowrate of Eu,17,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Ga,mean mass flowrate of Ga,18,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Gd,mean mass flowrate of Gd,19,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Ge,mean mass flowrate of Ge,20,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Ho,mean mass flowrate of Ho,21,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_I,mean mass flowrate of I,22,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_In,mean mass flowrate of In,23,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Kr,mean mass flowrate of Kr,24,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_La,mean mass flowrate of La,25,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Mo,mean mass flowrate of Mo,26,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Nb,mean mass flowrate of Nb,27,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Nd,mean mass flowrate of Nd,28,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Np,mean mass flowrate of Np,29,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Pa,mean mass flowrate of Pa,30,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Pd,mean mass flowrate of Pd,31,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Pm,mean mass flowrate of Pm,32,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Pr,mean mass flowrate of Pr,33,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Pu,mean mass flowrate of Pu,34,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Ra,mean mass flowrate of Ra,35,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Rb,mean mass flowrate of Rb,36,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Re,mean mass flowrate of Re,37,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Rh,mean mass flowrate of Rh,38,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Ru,mean mass flowrate of Ru,39,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Sb,mean mass flowrate of Sb,40,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Se,mean mass flowrate of Se,41,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Sm,mean mass flowrate of Sm,42,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Sn,mean mass flowrate of Sn,43,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Sr,mean mass flowrate of Sr,44,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Tb,mean mass flowrate of Tb,45,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Tc,mean mass flowrate of Tc,46,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Te,mean mass flowrate of Te,47,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Th,mean mass flowrate of Th,48,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Tl,mean mass flowrate of Tl,49,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Tm,mean mass flowrate of Tm,50,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_U,mean mass flowrate of U,51,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Xe,mean mass flowrate of Xe,52,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Y,mean mass flowrate of Y,53,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Yb,mean mass flowrate of Yb,54,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Zn,mean mass flowrate of Zn,55,[kg/s],connecti fp,connecti_source_fp,none
Q_fp_Zr,mean mass flowrate of Zr,56,[kg/s],connecti fp,connecti_source_fp,none
