mesh_id,magma_id,debris_id_0,debris_id_1
1,nan,nan,nan
2,376,375,374
3,381,380,379
4,386,385,384
5,390,nan,nan
6,399,nan,nan
7,405,404,403
8,411,410,409
9,418,417,416
10,423,nan,nan
11,432,nan,nan
12,442,441,440
13,458,457,456
14,475,474,473
15,478,nan,nan
16,487,nan,nan
17,497,496,495
18,513,512,511
19,530,529,528
20,533,nan,nan
21,542,nan,nan
22,552,551,550
23,568,567,566
24,585,584,583
25,588,nan,nan
26,597,nan,nan
27,606,605,604
28,621,620,619
29,637,636,635
30,640,nan,nan
31,649,nan,nan
32,659,658,657
33,675,674,673
34,692,691,690
35,695,nan,nan
36,704,nan,nan
37,714,713,712
38,730,729,728
39,747,746,745
40,750,nan,nan
41,759,nan,nan
42,769,768,767
43,785,784,783
44,802,801,800
45,805,nan,nan
46,814,nan,nan
47,823,822,821
48,838,837,836
49,854,853,852
50,857,nan,nan
51,866,nan,nan
52,876,875,874
53,892,891,890
54,909,908,907
55,912,nan,nan
56,921,nan,nan
57,931,930,929
58,947,946,945
59,964,963,962
60,967,nan,nan
61,976,nan,nan
62,986,985,984
63,1002,1001,1000
64,1019,1018,1017
65,1022,nan,nan
66,1031,nan,nan
67,1041,1040,1039
68,1057,1056,1055
69,1074,1073,1072
70,1077,nan,nan
71,1086,nan,nan
72,1091,1090,1089
73,1096,1095,1094
74,1102,1101,1100
75,1107,nan,nan
76,1116,nan,nan
